Year	Hour	DoY	NEE	LE	H	Ustar	qc_co2_flux	qc_h2o_flux	Net	Tair	rH	Rg	Tsoil	VPD
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
2021	21.0	63	-1.78883	-0.476234	-9999	0.00707338	1.0	1.0	-3.28993	20.600000000000023	-9999	-1.49469	20.900000000000034	-9999
2021	21.5	63	-1.0774261399999998	-0.307188249	-9999	0.0124956	0.0	0.0	-3.31798	20.560000000000002	-9999	-1.46541	20.900000000000034	-9999
2021	22.0	63	0.30305593000000003	0.711874397	-9999	0.00936315	0.0	1.0	-2.95824	20.531000000000006	-9999	-1.40151	20.89300000000003	-9999
2021	22.5	63	-0.73187004	-0.171168606	-9999	0.00741626	1.0	1.0	-2.86357	20.527000000000044	-9999	-1.44288	20.900000000000034	-9999
2021	23.0	63	-9999	-9999	-9999	0.00513896	2.0	2.0	-2.93508	20.501000000000033	-9999	-1.44546	20.900000000000034	-9999
2021	23.5	63	0.24054813	0.050927346	-9999	0.00530494	1.0	1.0	-3.17663	20.474000000000046	-9999	-1.56025	20.900000000000034	-9999
2021	0.0	64	0.51762084	0.102986388	-9999	0.00722312	1.0	1.0	-3.57327	20.44500000000005	-9999	-1.66336	20.807000000000016	-9999
2021	0.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	1.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	1.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	2.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	2.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	3.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	3.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	4.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	4.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	5.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	5.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	6.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	6.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	7.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	7.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	8.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	8.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	9.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	9.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	10.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	10.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	11.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	11.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	12.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	12.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	13.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	13.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	14.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	14.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	15.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	15.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	16.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	16.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	17.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	17.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	18.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	18.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	19.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	19.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	20.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	20.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	21.0	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2021	21.5	64	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
